Sample	Sampling Date	Sampling Location	Sex	Maturity
M401	June-Nov 2012-2014	Bras D'Or Lake		Adult
M405	June-Nov 2012-2014	Bras D'Or Lake		Adult
M407	June-Nov 2012-2014	Bras D'Or Lake		Adult
M409	June-Nov 2012-2014	Bras D'Or Lake		Adult
M410	June-Nov 2012-2014	Bras D'Or Lake		Adult
M411	June-Nov 2012-2014	Bras D'Or Lake		Adult
M412	June-Nov 2012-2014	Bras D'Or Lake		Adult
M414	June-Nov 2012-2014	Bras D'Or Lake		Adult
M415	June-Nov 2012-2014	Bras D'Or Lake		Adult
M417	June-Nov 2012-2014	Bras D'Or Lake		Adult
M418	June-Nov 2012-2014	Bras D'Or Lake		Adult
M424	June-Nov 2012-2014	Bras D'Or Lake		Adult
M425	June-Nov 2012-2014	Bras D'Or Lake		Adult
M427	June-Nov 2012-2014	Bras D'Or Lake		Adult
M429	June-Nov 2012-2014	Bras D'Or Lake		Adult
M430	June-Nov 2012-2014	Bras D'Or Lake		Adult
M431	June-Nov 2012-2014	Bras D'Or Lake		Adult
M432	June-Nov 2012-2014	Bras D'Or Lake		Adult
M438	June-Nov 2012-2014	Bras D'Or Lake		Adult
CB12	April-June 2013-2017	Mira River		Adult
CB13	April-June 2013-2017	Mira River		Adult
CB18	April-June 2013-2017	Mira River		Adult
CB190	April-June 2013-2017	Mira River		Adult
CB191	April-June 2013-2017	Mira River		Adult
CB192	April-June 2013-2017	Mira River		Adult
CB20	April-June 2013-2017	Mira River		Adult
CB202	April-June 2013-2017	Mira River		Adult
CB203	April-June 2013-2017	Mira River		Adult
CB206	April-June 2013-2017	Mira River		Adult
CB208	April-June 2013-2017	Mira River		Adult
CB218	April-June 2013-2017	Mira River		Adult
CB219	April-June 2013-2017	Mira River		Adult
CB22	April-June 2013-2017	Mira River		Adult
CB225	April-June 2013-2017	Mira River		Adult
CB226	April-June 2013-2017	Mira River		Adult
CB24	April-June 2013-2017	Mira River		Adult
CB27	April-June 2013-2017	Mira River		Adult
2013BRY03_05	23-May-13	Shubenacadie River		Adult
2013BRY05_01	28-May-13	Shubenacadie River		Adult
2013BRY05_02	28-May-13	Shubenacadie River		Adult
2013BRY06_01	1-Jun-13	Shubenacadie River		Adult
2013R_BRY01_01	21-Apr-13	Shubenacadie River		Adult
2013R_BRY02_01	23-Apr-13	Shubenacadie River		Adult
2013R_BRY03_01	23-May-13	Shubenacadie River		Adult
2013R_BRY03_02	23-May-13	Shubenacadie River		Adult
2014R_BRY03_01	5-May-14	Shubenacadie River		Adult
2014R_BRY04_01	8-May-14	Shubenacadie River		Adult
2014R_BRY05_01	18-May-14	Shubenacadie River		Adult
2014R_BRY07_02	11-Jun-14	Shubenacadie River		Adult
2014R_BRY07_03	11-Jun-14	Shubenacadie River		Adult
2014R_BRY07_04	11-Jun-14	Shubenacadie River		Adult
2014R_BRY09_02	28-Jun-14	Shubenacadie River		Adult
2015R_DCA01_01	12-May-15	Shubenacadie River		Adult
2015R_DCA01_03	12-May-15	Shubenacadie River		Adult
2015R_DCA01_04	12-May-15	Shubenacadie River		Adult
2015R_DCA01_05	12-May-15	Shubenacadie River		Adult
2015R_DCA02_01	15-May-15	Shubenacadie River		Adult
2015T_SSD01_06	16-May-15	Shubenacadie River		Adult
2015T_SSD01_08	16-May-15	Shubenacadie River		Adult
2015T_SSD01_13	16-May-15	Shubenacadie River		Adult
2015T_SSD01_15	16-May-15	Shubenacadie River		Adult
2015T_SSD01_27	16-May-15	Shubenacadie River		Adult
2015T_SSD01_28	16-May-15	Shubenacadie River		Adult
2015T_SSD01_29	16-May-15	Shubenacadie River		Adult
2015T_SSD01_32	16-May-15	Shubenacadie River		Adult
2015T_SSD01_33	16-May-15	Shubenacadie River		Adult
2015T_SSD01_36	16-May-15	Shubenacadie River		Adult
2015T_SSD01_42	16-May-15	Shubenacadie River		Adult
DW2017_03		Shubenacadie River		Adult
DW2017_06		Shubenacadie River		Adult
SJR_103	11-Oct-15	Saint John River		Juvenile
SJR_112	10-Aug-15	Saint John River		Juvenile
SJR_113	16-Oct-15	Saint John River		Juvenile
SJR_114	29-Sep-15	Saint John River		Juvenile
SJR_12	11-Jun-14	Saint John River		Juvenile
SJR_156	1-Jun-16	Saint John River		Juvenile
SJR_159	8-Jun-16	Saint John River		Juvenile
SJR_162	16-Jun-16	Saint John River		Juvenile
SJR_171	2017	Saint John River		Juvenile
SJR_174	2017	Saint John River		Juvenile
SJR_191	2017	Saint John River		Juvenile
SJR_249	2017	Saint John River		Juvenile
SJR_253	2017	Saint John River		Juvenile
SJR_254	2017	Saint John River		Juvenile
SJR_276	2017	Saint John River		Juvenile
SJR_281	2017	Saint John River		Juvenile
SJR_282	2017	Saint John River		Juvenile
SJR_30	27-Jun-14	Saint John River		Juvenile
SJR_31	4-Jul-14	Saint John River		Juvenile
SJR_36	11-Oct-14	Saint John River		Juvenile
SJR_40	21-Oct-14	Saint John River		Juvenile
SJR_41	21-Oct-14	Saint John River		Juvenile
SJR_42	21-Oct-14	Saint John River		Juvenile
SJR_7	9-Jun-14	Saint John River		Juvenile
SJR_84	25-Aug-15	Saint John River		Juvenile
SJR_85	25-Aug-15	Saint John River		Juvenile
SJR_86	27-Aug-15	Saint John River		Juvenile
SJR_87	25-Aug-15	Saint John River		Juvenile
SJR_91	4-Oct-15	Saint John River		Juvenile
SJR_93	4-Oct-15	Saint John River		Juvenile
SJR_94	4-Oct-15	Saint John River		Juvenile
SJR_98	12-Oct-15	Saint John River		Juvenile
KEN46	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN49	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN50	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN57	6/23/2014	Kennebec River		Juvenile (<1 year)
KEN_08	8/14/2014	Kennebec River		Juvenile (<1 year)
KEN_09	8/14/2014	Kennebec River		Juvenile (<1 year)
KEN_10	8/14/2014	Kennebec River		Juvenile (<1 year)
KEN_11	8/14/2014	Kennebec River		Juvenile (<1 year)
KEN_24	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN_32	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN_35	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN_37	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN_47	9/15/2014	Kennebec River		Juvenile (<1 year)
KEN_52	9/29/2014	Kennebec River		Juvenile (<1 year)
KEN_54	9/29/2014	Kennebec River		Juvenile (<1 year)
KEN_55	10/15/2014	Kennebec River		Juvenile (<1 year)
HUD12_01	April-May 2012	Hudson River		Spawning condition
HUD12_02	April-May 2012	Hudson River		Spawning condition
HUD12_11	April-May 2012	Hudson River		Spawning condition
HUD12_12	April-May 2012	Hudson River		Spawning condition
HUD12_13	April-May 2012	Hudson River		Spawning condition
HUD12_14	April-May 2012	Hudson River		Spawning condition
HUD12_15	April-May 2012	Hudson River		Spawning condition
HUD12_16	April-May 2012	Hudson River		Spawning condition
HUD12_17	April-May 2012	Hudson River		Spawning condition
HUD12_19	April-May 2012	Hudson River		Spawning condition
HUD12_20	April-May 2012	Hudson River		Spawning condition
HUD12_21	April-May 2012	Hudson River		Spawning condition
HUD12_22	April-May 2012	Hudson River		Spawning condition
HUD12_23	April-May 2012	Hudson River		Spawning condition
HUD12_24	April-May 2012	Hudson River		Spawning condition
HUD12_25	April-May 2012	Hudson River		Spawning condition
HUD12_26	April-May 2012	Hudson River		Spawning condition
HUD12_28	April-May 2012	Hudson River		Spawning condition
HUD12_29	April-May 2012	Hudson River		Spawning condition
HUD12_30	April-May 2012	Hudson River		Spawning condition
HUD12_32	April-May 2012	Hudson River		Spawning condition
HUD12_33	April-May 2012	Hudson River		Spawning condition
HUD12_34	April-May 2012	Hudson River		Spawning condition
HUD12_35	April-May 2012	Hudson River		Spawning condition
HUD12_36	April-May 2012	Hudson River		Spawning condition
HUD12_37	April-May 2012	Hudson River		Spawning condition
HUD12_38	April-May 2012	Hudson River		Spawning condition
HUD12_39	April-May 2012	Hudson River		Spawning condition
HUD12_40	April-May 2012	Hudson River		Spawning condition
HUD12_41	April-May 2012	Hudson River		Spawning condition
HUD12_42	April-May 2012	Hudson River		Spawning condition
HUD12_43	April-May 2012	Hudson River		Spawning condition
HUD12_44	April-May 2012	Hudson River		Spawning condition
HUD12_46	April-May 2012	Hudson River		Spawning condition
HUD14_E10	8-May-14	Hudson River	Female	Spawning condition
HUD14_E11	8-May-14	Hudson River	Female	Spawning condition
HUD14_E14	8-May-14	Hudson River	Female	Spawning condition
HUD14_E16	8-May-14	Hudson River	Female	Spawning condition
HUD14_E19	8-May-14	Hudson River	Female	Spawning condition
